,cent,entropy
0,0,45.11738215991499
1,1,32.314510850102586
2,2,30.17118655373242
3,3,28.58777997502009
4,4,27.33063209127689
5,5,26.247216430022068
6,6,25.221303792973426
7,7,24.324965486287812
8,8,23.42464916557927
9,9,22.629103010312942
10,10,21.7904943310671
11,11,21.019491027611654
12,12,20.26388652932891
13,13,19.54816177907572
14,14,18.856736455174072
15,15,18.15316793068356
16,16,17.509582658402216
17,17,16.88538641003216
18,18,16.2840686040721
19,19,15.69274554828826
20,20,15.096289387382788
21,21,14.555865436534303
22,22,14.033829386520257
23,23,13.500744425194583
24,24,13.000935356080545
25,25,12.524749254048126
26,26,12.070438574406335
27,27,11.634534672529908
28,28,11.199027798877093
29,29,10.78281211626991
30,30,10.369776337401863
31,31,9.990609478934072
32,32,9.586038717285614
33,33,9.21584602393182
34,34,8.836139078493751
35,35,8.490597805170774
36,36,8.156821871695268
37,37,7.804470219596227
38,38,7.479751430637336
39,39,7.177798889985585
40,40,6.862646844318125
41,41,6.583599197971425
42,42,6.298017017959166
43,43,6.035373592105568
44,44,5.771273879739011
45,45,5.5016210981306815
46,46,5.254102285575605
47,47,5.030522396730334
48,48,4.807613457482051
49,49,4.592548670954198
50,50,4.379527377647912
51,51,4.183260987152376
52,52,3.982514888194419
53,53,3.795399064082716
54,54,3.619265875678096
55,55,3.4383286607229633
56,56,3.2667448459735438
57,57,3.1012627589946584
58,58,2.9421284583950187
59,59,2.799068794769497
60,60,2.6585167197681
61,61,2.526181797483674
62,62,2.3975238046259246
63,63,2.272364391324437
64,64,2.1489494423106716
65,65,2.027867597727261
66,66,1.91337084369163
67,67,1.8039101819452865
68,68,1.6963519276513594
69,69,1.5962011395565352
70,70,1.5014006940059397
71,71,1.4144659362340903
72,72,1.327063682504217
73,73,1.2442195739456638
74,74,1.1648327800174463
75,75,1.0896775055331476
76,76,1.0175154265519404
77,77,0.9456585353746882
78,78,0.8767272424579194
79,79,0.8137751093494496
80,80,0.7534952148585012
81,81,0.6946154058181218
82,82,0.639228796250256
83,83,0.5831179569786027
84,84,0.5340853055547656
85,85,0.48679562963693734
86,86,0.4401677821586788
87,87,0.39519458224251297
88,88,0.35173840211235813
89,89,0.31400951720383025
90,90,0.27716626553530416
91,91,0.24253299174918028
92,92,0.21093184908459073
93,93,0.17999681314080235
94,94,0.15243896950282912
95,95,0.12448131557031784
96,96,0.09748390971369311
97,97,0.07282708130276737
98,98,0.04987944044174752
99,99,0.026173523855281135
100,100,0.0006289626280579047
