,cent,b
0,0,0.03587653295
1,1,0.9138646201
2,2,1.301364473
3,3,1.605118429
4,4,1.836257494
5,5,2.046716929
6,6,2.240575396
7,7,2.420230573
8,8,2.588333753
9,9,2.745023034
10,10,2.898634906
11,11,3.038710278
12,12,3.175991736
13,13,3.312397295
14,14,3.447208789
15,15,3.563644415
16,16,3.680863751
17,17,3.79047349
18,18,3.899531269
19,19,4.005945965
20,20,4.10884833
21,21,4.213634219
22,22,4.30589171
23,23,4.402866931
24,24,4.495061344
25,25,4.587569216
26,26,4.677687654
27,27,4.77106272
28,28,4.858620997
29,29,4.9436514
30,30,5.030003877
31,31,5.111047935
32,32,5.191785004
33,33,5.26805597
34,34,5.348094627
35,35,5.426003058
36,36,5.500169703
37,37,5.575144525
38,38,5.648651812
39,39,5.724130325
40,40,5.803890337
41,41,5.872069265
42,42,5.94825019
43,43,6.02069855
44,44,6.090610451
45,45,6.159316377
46,46,6.227091593
47,47,6.294350114
48,48,6.359636647
49,49,6.423203345
50,50,6.488924886
51,51,6.551483836
52,52,6.614560416
53,53,6.682890057
54,54,6.746102625
55,55,6.811979177
56,56,6.876189882
57,57,6.938023592
58,58,7.000810553
59,59,7.05986228
60,60,7.119493571
61,61,7.181556852
62,62,7.241888398
63,63,7.301068225
64,64,7.361938489
65,65,7.420732846
66,66,7.480226822
67,67,7.537952165
68,68,7.597970268
69,69,7.657551539
70,70,7.718171428
71,71,7.780480004
72,72,7.840351771
73,73,7.904674198
74,74,7.965064777
75,75,8.028192172
76,76,8.090733309
77,77,8.157390654
78,78,8.222815787
79,79,8.293275071
80,80,8.364393368
81,81,8.433036404
82,82,8.504813354
83,83,8.581334464
84,84,8.654066706
85,85,8.730010405
86,86,8.808941224
87,87,8.893655243
88,88,8.979318598
89,89,9.077109417
90,90,9.174666382
91,91,9.276734406
92,92,9.391184849
93,93,9.51999251
94,94,9.657604232
95,95,9.823870334
96,96,10.02399356
97,97,10.27060267
98,98,10.59680177
99,99,11.10605636
100,100,15.85003146
