,cent,b
0,0,0.01559234593
1,1,0.6678269388
2,2,0.9386586128
3,3,1.165374967
4,4,1.345213984
5,5,1.507181256
6,6,1.65669977
7,7,1.787505019
8,8,1.913285186
9,9,2.033429954
10,10,2.143612613
11,11,2.251393181
12,12,2.347705103
13,13,2.438574971
14,14,2.534327782
15,15,2.62526712
16,16,2.712414042
17,17,2.797956059
18,18,2.875059369
19,19,2.956390915
20,20,3.033697841
21,21,3.105499841
22,22,3.179589364
23,23,3.251289619
24,24,3.318559028
25,25,3.383960118
26,26,3.453314604
27,27,3.517016592
28,28,3.579535792
29,29,3.640027734
30,30,3.700668197
31,31,3.762108564
32,32,3.820096244
33,33,3.879662486
34,34,3.938332188
35,35,3.996235158
36,36,4.055205543
37,37,4.111322146
38,38,4.16781366
39,39,4.222053178
40,40,4.275041571
41,41,4.327222157
42,42,4.381626867
43,43,4.43528267
44,44,4.487180373
45,45,4.538851494
46,46,4.589295136
47,47,4.640286601
48,48,4.693608329
49,49,4.742949697
50,50,4.793337288
51,51,4.842856125
52,52,4.891488195
53,53,4.941099703
54,54,4.989502473
55,55,5.040688911
56,56,5.088704344
57,57,5.141193461
58,58,5.189333664
59,59,5.23779349
60,60,5.28958511
61,61,5.336793002
62,62,5.38736113
63,63,5.434147621
64,64,5.484256473
65,65,5.535206024
66,66,5.587352515
67,67,5.63665109
68,68,5.688170131
69,69,5.738135477
70,70,5.78972085
71,71,5.840255877
72,72,5.893946113
73,73,5.946400285
74,74,5.996650633
75,75,6.049446942
76,76,6.102994541
77,77,6.159301827
78,78,6.219296218
79,79,6.279725391
80,80,6.341993839
81,81,6.403461049
82,82,6.470005804
83,83,6.538649992
84,84,6.607812465
85,85,6.677347046
86,86,6.754316269
87,87,6.833953885
88,88,6.92077049
89,89,7.007341985
90,90,7.097662957
91,91,7.201599782
92,92,7.314208344
93,93,7.436150726
94,94,7.578121457
95,95,7.736577408
96,96,7.930280409
97,97,8.152880777
98,98,8.452148761
99,99,8.96501094
100,100,12.99704664
