,cent,entropy
0,0,106.2826534854879
1,1,78.22013090390496
2,2,73.83010395518367
3,3,70.45223970587037
4,4,67.42065541263125
5,5,64.81990430553681
6,6,62.37000952762608
7,7,60.06022274302314
8,8,57.872986104424584
9,9,55.83664604214663
10,10,53.730922672286106
11,11,51.76856054614628
12,12,49.937466028656615
13,13,48.1002454058667
14,14,46.427892225160534
15,15,44.80936782711704
16,16,43.144466529155544
17,17,41.54098389502447
18,18,40.06225859581838
19,19,38.66401878679192
20,20,37.2955593615015
21,21,36.0193299775192
22,22,34.72352982864277
23,23,33.45490903650114
24,24,32.24086424351957
25,25,31.039022825713516
26,26,29.866327687149006
27,27,28.787998635297196
28,28,27.727043436255666
29,29,26.71610258127214
30,30,25.78118608826282
31,31,24.730156787338142
32,32,23.781664959869904
33,33,22.860099916907206
34,34,21.95637282169449
35,35,21.08963265143072
36,36,20.235519479190085
37,37,19.41432176865057
38,38,18.656134839955264
39,39,17.920309651124352
40,40,17.201118665431913
41,41,16.496722077022753
42,42,15.8206898994754
43,43,15.175923532784795
44,44,14.51806857122235
45,45,13.85775948818115
46,46,13.22711935682965
47,47,12.63669231409923
48,48,12.051067435733929
49,49,11.464718697804463
50,50,10.924348163664947
51,51,10.408106299792784
52,52,9.907175074793656
53,53,9.41013932918578
54,54,8.936125024860821
55,55,8.48092306979997
56,56,8.043722563457568
57,57,7.620680700934624
58,58,7.215423715809724
59,59,6.829094246709164
60,60,6.428597315004099
61,61,6.074512643713237
62,62,5.711653568356962
63,63,5.375250550742822
64,64,5.063021646141111
65,65,4.759131536413074
66,66,4.454774333808067
67,67,4.182255623668267
68,68,3.9086687242673963
69,69,3.6540000773208967
70,70,3.4092281929434773
71,71,3.186413046567928
72,72,2.972259446929905
73,73,2.771474152082613
74,74,2.5562942036451526
75,75,2.3594481248515002
76,76,2.1727007136437773
77,77,1.9919116756180322
78,78,1.8234748925521773
79,79,1.6765623527068885
80,80,1.5345396753394749
81,81,1.400615165603546
82,82,1.2734192585281157
83,83,1.1564564920189917
84,84,1.0379482385458458
85,85,0.9321851835403966
86,86,0.8286170471467307
87,87,0.7303140274192299
88,88,0.6455054875389823
89,89,0.5680024326869552
90,90,0.4921243684164503
91,91,0.4242453911177627
92,92,0.36177468728051965
93,93,0.30104745011616774
94,94,0.24855589208820475
95,95,0.19861626234413632
96,96,0.1529496423791882
97,97,0.11168287543630577
98,98,0.07366309060429585
99,99,0.03845073763385549
100,100,0.00032210029720247934
