,cent,b
0,0,0.02896736899
1,1,1.16811921
2,2,1.658189549
3,3,2.01942939
4,4,2.324612971
5,5,2.607796223
6,6,2.870965235
7,7,3.101436987
8,8,3.313596906
9,9,3.507662141
10,10,3.693133886
11,11,3.869884585
12,12,4.043886905
13,13,4.206008179
14,14,4.36739082
15,15,4.518992689
16,16,4.658072212
17,17,4.805671616
18,18,4.94477876
19,19,5.082713194
20,20,5.213151158
21,21,5.342487853
22,22,5.470368355
23,23,5.596414613
24,24,5.713101011
25,25,5.83844743
26,26,5.959227467
27,27,6.073773784
28,28,6.188392279
29,29,6.299588857
30,30,6.406561023
31,31,6.518449503
32,32,6.623850292
33,33,6.722025362
34,34,6.823552713
35,35,6.926275647
36,36,7.027983223
37,37,7.123269997
38,38,7.219574672
39,39,7.312176603
40,40,7.40631913
41,41,7.503182449
42,42,7.592008493
43,43,7.678977784
44,44,7.766681535
45,45,7.855438723
46,46,7.943770872
47,47,8.029682839
48,48,8.119808832
49,49,8.202537808
50,50,8.282722101
51,51,8.360705189
52,52,8.436625144
53,53,8.51165158
54,54,8.591259607
55,55,8.670207333
56,56,8.7496779
57,57,8.829124138
58,58,8.907133013
59,59,8.982518832
60,60,9.06071822
61,61,9.140540364
62,62,9.213226904
63,63,9.287529794
64,64,9.358507719
65,65,9.430017481
66,66,9.501469916
67,67,9.574265703
68,68,9.640205717
69,69,9.710143107
70,70,9.778250816
71,71,9.842396258
72,72,9.914198844
73,73,9.984173926
74,74,10.05182362
75,75,10.12021483
76,76,10.19098652
77,77,10.26063775
78,78,10.3311488
79,79,10.40114194
80,80,10.47275513
81,81,10.54545612
82,82,10.61769885
83,83,10.6963453
84,84,10.77277209
85,85,10.85408186
86,86,10.93521703
87,87,11.01953033
88,88,11.10309371
89,89,11.19808928
90,90,11.28936164
91,91,11.39544239
92,92,11.49995628
93,93,11.61824099
94,94,11.75075893
95,95,11.90458883
96,96,12.0827391
97,97,12.29649934
98,98,12.58557221
99,99,13.02972403
100,100,17.31558791
