,cent,entropy
0,0,106.56830127767286
1,1,78.21892339654313
2,2,73.77395512181788
3,3,70.43755836787868
4,4,67.59297316058388
5,5,64.99828125313577
6,6,62.48390346928586
7,7,60.29644436604047
8,8,58.02011653683508
9,9,55.863746682538604
10,10,53.802015687290144
11,11,51.786915667663656
12,12,49.96887791989946
13,13,48.26190446747024
14,14,46.58253834337434
15,15,45.039848547752065
16,16,43.44881034846997
17,17,41.970712296035565
18,18,40.54905678237325
19,19,39.11363536095267
20,20,37.62547520140306
21,21,36.31214195851626
22,22,34.953833986208735
23,23,33.73101461398908
24,24,32.52763811460822
25,25,31.32970618527205
26,26,30.123642458790847
27,27,29.032547838608462
28,28,27.905004197284786
29,29,26.848815413593854
30,30,25.794748532797673
31,31,24.816340708414334
32,32,23.897145179291616
33,33,23.00161764689546
34,34,22.127551018291257
35,35,21.301562569589155
36,36,20.422246432011942
37,37,19.63342204603827
38,38,18.831252204246212
39,39,17.99231158358366
40,40,17.230204973382556
41,41,16.505622626108547
42,42,15.796043470978564
43,43,15.106376854541884
44,44,14.459121517567265
45,45,13.815118163559994
46,46,13.217120185378796
47,47,12.604058006840196
48,48,12.007844477213002
49,49,11.42766355631751
50,50,10.894684249218333
51,51,10.395347482322045
52,52,9.872496814755365
53,53,9.38039518447204
54,54,8.909291344228023
55,55,8.44571663478052
56,56,8.009309067175392
57,57,7.566896572854343
58,58,7.154123172510055
59,59,6.728754601770395
60,60,6.3409794292887085
61,61,5.989498164228889
62,62,5.64898645995119
63,63,5.334387715011602
64,64,5.02597408776308
65,65,4.735157062739837
66,66,4.431079432272845
67,67,4.155074928673904
68,68,3.886649880410776
69,69,3.621281055013923
70,70,3.3784179983705718
71,71,3.1515352195410093
72,72,2.912595185275374
73,73,2.7010825566062464
74,74,2.501299430008351
75,75,2.3131643640248654
76,76,2.130745164427599
77,77,1.9682002390318392
78,78,1.8161232209633378
79,79,1.6678738267093633
80,80,1.5283114857613478
81,81,1.3891257278353835
82,82,1.2560739272113894
83,83,1.138424730563661
84,84,1.0249760512028783
85,85,0.9197802936518393
86,86,0.8211128945076511
87,87,0.7284354346104456
88,88,0.6405819982357522
89,89,0.5628065465612916
90,90,0.4885841244539362
91,91,0.42192064868130624
92,92,0.36002095944818224
93,93,0.30105459983552657
94,94,0.24756900437397913
95,95,0.1981968450820702
96,96,0.1531282821004437
97,97,0.11143681618297516
98,98,0.07320808596457283
99,99,0.03922925464490745
100,100,0.0001610474131978578
