,cent,b
0,0,0.04046727725
1,1,1.180383382
2,2,1.674326011
3,3,2.031554174
4,4,2.331599977
5,5,2.603185358
6,6,2.848946663
7,7,3.07513222
8,8,3.273527614
9,9,3.464020896
10,10,3.652288526
11,11,3.84870196
12,12,4.019960566
13,13,4.18624429
14,14,4.335088026
15,15,4.484295621
16,16,4.635109434
17,17,4.782945371
18,18,4.922034728
19,19,5.063718518
20,20,5.203059357
21,21,5.333456985
22,22,5.464720311
23,23,5.589254049
24,24,5.713895915
25,25,5.833804481
26,26,5.945755679
27,27,6.062575166
28,28,6.173227553
29,29,6.278402309
30,30,6.389673864
31,31,6.496243404
32,32,6.600078047
33,33,6.703380828
34,34,6.800354164
35,35,6.899572672
36,36,6.997095783
37,37,7.099690451
38,38,7.192215511
39,39,7.281955589
40,40,7.378225896
41,41,7.47361728
42,42,7.563090781
43,43,7.651891245
44,44,7.739742935
45,45,7.821928912
46,46,7.909563882
47,47,7.992200969
48,48,8.07807137
49,49,8.159579205
50,50,8.24339161
51,51,8.327311687
52,52,8.407105581
53,53,8.489915367
54,54,8.567556765
55,55,8.643102882
56,56,8.719486142
57,57,8.799996193
58,58,8.880721294
59,59,8.957961367
60,60,9.03670901
61,61,9.110406664
62,62,9.183183945
63,63,9.253536385
64,64,9.323381631
65,65,9.395250531
66,66,9.462320967
67,67,9.53352047
68,68,9.604556163
69,69,9.679448755
70,70,9.749086238
71,71,9.823287067
72,72,9.899235691
73,73,9.968221602
74,74,10.0382005
75,75,10.10924954
76,76,10.18028008
77,77,10.24949268
78,78,10.32168002
79,79,10.39375403
80,80,10.46869636
81,81,10.54281933
82,82,10.6168546
83,83,10.69351823
84,84,10.77397848
85,85,10.84886459
86,86,10.9246479
87,87,11.00585043
88,88,11.09176004
89,89,11.18179722
90,90,11.28033344
91,91,11.3786397
92,92,11.4874219
93,93,11.60831827
94,94,11.73810719
95,95,11.88474872
96,96,12.04994464
97,97,12.26288556
98,98,12.54155477
99,99,12.99358431
100,100,16.11536338
