,cent,b
0,0,0.03870942516
1,1,1.143195762
2,2,1.604234128
3,3,1.975052443
4,4,2.288785585
5,5,2.565223731
6,6,2.806267744
7,7,3.045080933
8,8,3.251889371
9,9,3.455294312
10,10,3.642036016
11,11,3.829145961
12,12,4.002080694
13,13,4.167521561
14,14,4.32094855
15,15,4.46831004
16,16,4.614233292
17,17,4.764074343
18,18,4.90439904
19,19,5.034399736
20,20,5.168819388
21,21,5.297312874
22,22,5.419568992
23,23,5.540645204
24,24,5.660833049
25,25,5.781735982
26,26,5.899763145
27,27,6.014003846
28,28,6.1265651
29,29,6.230248737
30,30,6.331477548
31,31,6.432949838
32,32,6.538987526
33,33,6.646268794
34,34,6.748796901
35,35,6.843448986
36,36,6.940338282
37,37,7.034647325
38,38,7.129454797
39,39,7.22441671
40,40,7.316234793
41,41,7.414407299
42,42,7.504923885
43,43,7.598131171
44,44,7.68655934
45,45,7.776064529
46,46,7.864489922
47,47,7.948762225
48,48,8.037543352
49,49,8.119973627
50,50,8.197690678
51,51,8.281031144
52,52,8.362822957
53,53,8.440732883
54,54,8.520404237
55,55,8.596233069
56,56,8.672890821
57,57,8.746787488
58,58,8.825340513
59,59,8.901147706
60,60,8.975563457
61,61,9.049783183
62,62,9.120956048
63,63,9.196047353
64,64,9.269924
65,65,9.342853444
66,66,9.413250183
67,67,9.488022628
68,68,9.557989172
69,69,9.629679925
70,70,9.699184723
71,71,9.772224362
72,72,9.837557381
73,73,9.906641289
74,74,9.976437882
75,75,10.04720928
76,76,10.11707683
77,77,10.18688005
78,78,10.2552778
79,79,10.32502114
80,80,10.39592805
81,81,10.46703189
82,82,10.54542773
83,83,10.61946882
84,84,10.69431376
85,85,10.76852892
86,86,10.85418787
87,87,10.93430909
88,88,11.02015163
89,89,11.11072917
90,90,11.2108992
91,91,11.3081921
92,92,11.41377278
93,93,11.52626063
94,94,11.65753304
95,95,11.80596323
96,96,11.98351418
97,97,12.19085506
98,98,12.4816397
99,99,12.93610499
100,100,16.70235527
