,cent,b
0,0,0.02870854704
1,1,1.153342892
2,2,1.613834818
3,3,1.97515503
4,4,2.273035816
5,5,2.572512312
6,6,2.82121344
7,7,3.042032134
8,8,3.261338795
9,9,3.454480359
10,10,3.640221313
11,11,3.822680666
12,12,3.983953719
13,13,4.146759309
14,14,4.302448323
15,15,4.452797224
16,16,4.598695555
17,17,4.740623957
18,18,4.883313315
19,19,5.022807457
20,20,5.148640394
21,21,5.275832763
22,22,5.395491457
23,23,5.51744924
24,24,5.633214452
25,25,5.750948657
26,26,5.868162961
27,27,5.978631601
28,28,6.082412202
29,29,6.188831882
30,30,6.293096198
31,31,6.396910396
32,32,6.503743673
33,33,6.606507896
34,34,6.708708935
35,35,6.810338161
36,36,6.908656411
37,37,7.000537889
38,38,7.097523742
39,39,7.200333767
40,40,7.291150057
41,41,7.386195872
42,42,7.4776873
43,43,7.565571481
44,44,7.655341017
45,45,7.744617785
46,46,7.831029364
47,47,7.917392933
48,48,7.996322399
49,49,8.081737636
50,50,8.16370736
51,51,8.248426726
52,52,8.331262201
53,53,8.406763839
54,54,8.485414455
55,55,8.565607256
56,56,8.642942245
57,57,8.719916335
58,58,8.796161172
59,59,8.874265232
60,60,8.95291779
61,61,9.028413436
62,62,9.101017004
63,63,9.178212334
64,64,9.248395963
65,65,9.317598168
66,66,9.391296927
67,67,9.461102137
68,68,9.530205944
69,69,9.600393933
70,70,9.670096348
71,71,9.741501346
72,72,9.812112768
73,73,9.878536271
74,74,9.949268954
75,75,10.0158032
76,76,10.08724931
77,77,10.16333003
78,78,10.23126415
79,79,10.29937682
80,80,10.37298474
81,81,10.44502698
82,82,10.51733636
83,83,10.58763278
84,84,10.6641453
85,85,10.74400826
86,86,10.82603616
87,87,10.90863378
88,88,10.99572408
89,89,11.08654069
90,90,11.17818696
91,91,11.27518242
92,92,11.38294624
93,93,11.4980711
94,94,11.62858148
95,95,11.78261374
96,96,11.95907913
97,97,12.17241596
98,98,12.45983852
99,99,12.91184638
100,100,16.83418654
