,cent,entropy
0,0,10.87420056
1,1,5.456167691
2,2,4.811242478
3,3,4.410913989
4,4,4.129584325
5,5,3.891579631
6,6,3.704141297
7,7,3.539014911
8,8,3.39445926
9,9,3.26962792
10,10,3.15751678
11,11,3.05073739
12,12,2.953032843
13,13,2.856849463
14,14,2.775555134
15,15,2.697421055
16,16,2.621701915
17,17,2.549086558
18,18,2.481875371
19,19,2.415998904
20,20,2.350191624
21,21,2.293960825
22,22,2.23633862
23,23,2.179476932
24,24,2.12498389
25,25,2.072902158
26,26,2.02408638
27,27,1.975962731
28,28,1.927734525
29,29,1.880919315
30,30,1.835469645
31,31,1.790880237
32,32,1.748156523
33,33,1.706816731
34,34,1.665165637
35,35,1.624850351
36,36,1.583902981
37,37,1.545848317
38,38,1.50739992
39,39,1.469086804
40,40,1.434053016
41,41,1.397789985
42,42,1.363885184
43,43,1.330685982
44,44,1.296582554
45,45,1.264377931
46,46,1.233381183
47,47,1.203427506
48,48,1.171996304
49,49,1.14127883
50,50,1.109832967
51,51,1.082114402
52,52,1.051950589
53,53,1.024978402
54,54,0.9964946237
55,55,0.9695270951
56,56,0.942179473
57,57,0.9151186183
58,58,0.8875912744
59,59,0.8600714272
60,60,0.8334845709
61,61,0.8078389718
62,62,0.7826589743
63,63,0.7566225933
64,64,0.7326596588
65,65,0.7085241196
66,66,0.6837229196
67,67,0.6593451603
68,68,0.6356749849
69,69,0.6121976709
70,70,0.5885674353
71,71,0.5662056153
72,72,0.543354931
73,73,0.5215289909
74,74,0.4995040234
75,75,0.4767951502
76,76,0.4559812556
77,77,0.4347800819
78,78,0.4133555858
79,79,0.3913219217
80,80,0.3713736032
81,81,0.3517341139
82,82,0.3321189648
83,83,0.3126919439
84,84,0.2932084816
85,85,0.2747375972
86,86,0.2566438079
87,87,0.2376394786
88,88,0.2190259514
89,89,0.2016411219
90,90,0.1831202653
91,91,0.16585158
92,92,0.1477108155
93,93,0.1308102323
94,94,0.1141074907
95,95,0.09709427808
96,96,0.0797527426
97,97,0.06271911798
98,98,0.04495910083
99,99,0.02606388623
100,100,0.0002569360147
