,cent,b
0,0,0.1576975368
1,1,1.552338866
2,2,2.151841339
3,3,2.639225253
4,4,3.044905606
5,5,3.413678262
6,6,3.731732084
7,7,4.043324659
8,8,4.316243504
9,9,4.563908104
10,10,4.804389596
11,11,5.054411776
12,12,5.282234013
13,13,5.487797114
14,14,5.693368752
15,15,5.889953734
16,16,6.08374403
17,17,6.262316831
18,18,6.438421574
19,19,6.608997314
20,20,6.78105651
21,21,6.959213176
22,22,7.117986048
23,23,7.279688361
24,24,7.439063373
25,25,7.589893009
26,26,7.751905779
27,27,7.895050838
28,28,8.039907698
29,29,8.18369038
30,30,8.315171245
31,31,8.45201538
32,32,8.584964258
33,33,8.723855735
34,34,8.853813194
35,35,8.983489478
36,36,9.105552141
37,37,9.226444667
38,38,9.352633037
39,39,9.476891085
40,40,9.599728808
41,41,9.721404297
42,42,9.85057571
43,43,9.964110728
44,44,10.07531645
45,45,10.18871341
46,46,10.30199137
47,47,10.40679855
48,48,10.51133512
49,49,10.61737882
50,50,10.73160327
51,51,10.84425631
52,52,10.95159102
53,53,11.0652691
54,54,11.16884237
55,55,11.2771358
56,56,11.37836163
57,57,11.48011408
58,58,11.57609822
59,59,11.67423249
60,60,11.77761956
61,61,11.875094
62,62,11.96851021
63,63,12.0636717
64,64,12.16145216
65,65,12.25461382
66,66,12.36063274
67,67,12.44882756
68,68,12.54458856
69,69,12.63427315
70,70,12.7231122
71,71,12.80903451
72,72,12.90025656
73,73,12.98725233
74,74,13.07837792
75,75,13.17656943
76,76,13.26470321
77,77,13.34645732
78,78,13.43412744
79,79,13.51781573
80,80,13.6069099
81,81,13.69313887
82,82,13.77448551
83,83,13.86568176
84,84,13.94648225
85,85,14.03540106
86,86,14.12906143
87,87,14.22248246
88,88,14.3104682
89,89,14.40948284
90,90,14.51167897
91,91,14.62170761
92,92,14.73214893
93,93,14.86042591
94,94,15.00012334
95,95,15.14522347
96,96,15.31483828
97,97,15.5092099
98,98,15.80379219
99,99,16.26250371
100,100,19.81807954
