,cent,b
0,0,0.02370570481
1,1,1.574845943
2,2,2.229181412
3,3,2.73408541
4,4,3.170809348
5,5,3.533427281
6,6,3.854569855
7,7,4.161190138
8,8,4.454253517
9,9,4.730720525
10,10,4.98935797
11,11,5.234232048
12,12,5.457876631
13,13,5.675011351
14,14,5.888483915
15,15,6.09782521
16,16,6.285661195
17,17,6.47596135
18,18,6.663232126
19,19,6.840752936
20,20,7.009779479
21,21,7.188499123
22,22,7.366607269
23,23,7.531941364
24,24,7.690116853
25,25,7.8527498
26,26,8.010422585
27,27,8.164537527
28,28,8.308453271
29,29,8.461721489
30,30,8.603407287
31,31,8.740742395
32,32,8.880548078
33,33,9.016124087
34,34,9.158957436
35,35,9.300513238
36,36,9.42902202
37,37,9.55116089
38,38,9.674882722
39,39,9.800217583
40,40,9.927625383
41,41,10.04990852
42,42,10.16864894
43,43,10.28781789
44,44,10.4087504
45,45,10.52229972
46,46,10.64493048
47,47,10.76236407
48,48,10.87445193
49,49,10.991886
50,50,11.10985686
51,51,11.22328318
52,52,11.33571416
53,53,11.44423989
54,54,11.55449238
55,55,11.66614524
56,56,11.76862169
57,57,11.87395458
58,58,11.97804662
59,59,12.08029925
60,60,12.18444863
61,61,12.28807569
62,62,12.38683209
63,63,12.48414385
64,64,12.58723315
65,65,12.68816637
66,66,12.78506327
67,67,12.88692279
68,68,12.98233619
69,69,13.0698398
70,70,13.16175833
71,71,13.25155763
72,72,13.34427725
73,73,13.43848191
74,74,13.53115239
75,75,13.62599166
76,76,13.71707938
77,77,13.8078624
78,78,13.9056079
79,79,13.99270461
80,80,14.09234105
81,81,14.17939124
82,82,14.27071247
83,83,14.36700415
84,84,14.46200187
85,85,14.55641425
86,86,14.65809558
87,87,14.75396081
88,88,14.85698746
89,89,14.96744648
90,90,15.07716254
91,91,15.18762894
92,92,15.31925615
93,93,15.45592847
94,94,15.6041535
95,95,15.77703863
96,96,15.98171889
97,97,16.21471651
98,98,16.52990949
99,99,17.05999399
100,100,19.97172327
