,cent,b
0,0,0.05659161755
1,1,1.294874153
2,2,1.843975452
3,3,2.271003401
4,4,2.6071149
5,5,2.902602281
6,6,3.17410318
7,7,3.437366128
8,8,3.686207558
9,9,3.908429102
10,10,4.12854304
11,11,4.33281608
12,12,4.516338513
13,13,4.709407055
14,14,4.886873526
15,15,5.058797379
16,16,5.230864029
17,17,5.395304244
18,18,5.557232026
19,19,5.716545689
20,20,5.869987938
21,21,6.017142358
22,22,6.165970827
23,23,6.309816132
24,24,6.450710822
25,25,6.572045546
26,26,6.702789363
27,27,6.828573416
28,28,6.950633755
29,29,7.070194482
30,30,7.191943455
31,31,7.309882157
32,32,7.429104353
33,33,7.537387825
34,34,7.655530347
35,35,7.772608968
36,36,7.880074598
37,37,7.985603927
38,38,8.094619202
39,39,8.206857951
40,40,8.308283288
41,41,8.405968733
42,42,8.512130678
43,43,8.615445168
44,44,8.712737694
45,45,8.813458979
46,46,8.91569835
47,47,9.013274387
48,48,9.110539278
49,49,9.201903087
50,50,9.298111781
51,51,9.386865067
52,52,9.480331718
53,53,9.572980269
54,54,9.665007852
55,55,9.749332998
56,56,9.837429783
57,57,9.926549672
58,58,10.01083807
59,59,10.09689224
60,60,10.18179472
61,61,10.26392031
62,62,10.3490177
63,63,10.43211164
64,64,10.51159718
65,65,10.58818609
66,66,10.66959827
67,67,10.75284091
68,68,10.83020711
69,69,10.90905051
70,70,10.99231843
71,71,11.0727803
72,72,11.1471817
73,73,11.22444926
74,74,11.3035631
75,75,11.38309646
76,76,11.46054348
77,77,11.54112041
78,78,11.62587986
79,79,11.70269407
80,80,11.78444145
81,81,11.863616
82,82,11.94339093
83,83,12.02847214
84,84,12.11739103
85,85,12.20096761
86,86,12.29129919
87,87,12.38304205
88,88,12.4791862
89,89,12.58122855
90,90,12.68901138
91,91,12.7958715
92,92,12.91440551
93,93,13.04989049
94,94,13.20017186
95,95,13.3641812
96,96,13.55330351
97,97,13.78452447
98,98,14.10295424
99,99,14.59332
100,100,17.88235205
